1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
5;4;75
1;3;50
2;1;75
3;2;50
4;5;75
5;4;50
1;3;75
2;1;50
3;2;75
4;5;50
