91	65	306
50	7	753.79
91	22	794.02
68	4	159.26
68	78	780.86
83	35	516.97
85	79	633.55
89	15	766.48
40	22	73.63
26	56	85.81
62	72	59.83
83	10	467.79
41	73	924.43
33	27	711.65
35	78	832.89
30	72	135.2
78	58	989.45
87	88	493.41
9	50	807.59
21	40	374.88
21	85	139.88
91	37	70.61
39	39	464.88
46	47	886.64
29	36	96.85
66	23	628.35
81	83	690.08
2	94	88.23
6	92	90.66
3	53	190.59
3	72	650.84
81	68	275.48
42	38	421.65
58	34	263.76
40	47	922.11
77	41	637.67
55	6	668.59
1	82	633.32
4	92	796.03
68	62	169.44
25	61	540.33
14	93	443.05
5	97	156.47
36	45	704.85
16	40	686.82
25	25	216.82
9	42	648.97
45	31	624.31
31	87	183.54
2	79	356.42
53	81	657.82
11	47	411.46
80	88	87.3
34	32	138.4
67	37	960.89
64	23	538.69
66	51	477.81
55	14	440.48
88	99	69.18
66	89	43.41
37	52	588.77
40	65	965.71
45	53	87.46
75	25	252.6
56	50	666.92
66	67	285.49
78	39	988.87
22	41	96.25
36	46	792.6
68	15	597.98
98	38	373.37
25	6	841.38
34	8	11.47
7	64	263.75
60	27	247.37
94	37	789.52
52	26	205.36
56	46	973.94
38	73	864.51
52	68	729.92
49	90	87.71
11	31	572.49
91	58	566.12
64	31	818.54
61	8	473.15
17	51	659.46
45	68	231.83
65	77	199.88
61	16	304.16
18	51	339.71
31	16	303.82
39	98	674.64
89	23	188.36
75	33	444.22
94	99	313.67
1	20	413.7
41	26	92.98
75	30	805.89
9	70	976.51
60	85	10.67
77	70	566.1
72	33	295.35
51	28	349.84
55	65	19.27
25	48	901.62
47	54	248.59
97	88	722.49
31	83	212.66
40	67	60.28
15	87	629.69
78	7	443.16
72	66	84.47
54	80	363.13
42	90	549.77
73	58	414.75
19	35	92.54
7	0	607.39
33	63	581.07
15	14	267.38
6	99	193.97
10	8	918.18
35	18	42.79
40	37	426.85
42	24	489.56
45	96	854.42
17	62	286.75
94	37	333.42
97	41	786.78
34	28	185.7
18	79	256.3
22	21	683.8
94	82	121.86
47	19	840.04
87	59	684.58
82	71	409.04
28	97	886.44
52	91	859.69
41	23	335.24
13	69	345.93
31	6	791.77
30	7	27.05
96	59	239.49
61	50	244.49
20	17	479.56
34	54	469.74
65	6	851.95
59	64	835.1
86	72	16.05
81	60	476.16
98	34	814.85
37	7	294
56	8	115.19
73	17	3.73
98	51	213.62
21	60	700.81
73	73	546.6
35	94	852.62
45	57	259.14
71	99	215.46
31	65	65.96
54	88	361.18
71	82	22.83
67	75	862.05
15	53	712.7
21	92	242.75
44	10	371.24
4	12	334.54
66	42	550.25
30	78	199.9
3	15	85.46
31	17	683.77
13	20	179.51
20	47	837.15
86	86	188.23
34	73	228.78
92	61	659.74
42	96	617.09
15	55	768.52
87	88	374.67
23	77	365.88
84	58	312.35
91	81	358.72
73	24	767.95
49	56	258.45
92	32	797.86
49	4	50.73
46	82	78.69
54	10	823.76
16	7	355.8
61	51	139.61
13	96	761.9
82	15	451.24
25	42	967.8
69	94	981.7
8	92	12.98
65	81	771.69
63	62	975.35
88	9	936.6
60	77	761.18
8	56	37.36
48	13	995.16
25	96	767.28
43	20	929.58
13	25	70.64
78	32	305.9
95	61	361.2
21	84	320.36
61	58	245.27
84	82	476.69
63	73	471.12
54	95	662.25
39	41	69.14
74	79	506.67
95	96	530.02
29	31	455.41
52	71	354.12
9	30	510.66
62	48	889.29
16	27	744.13
84	64	178.59
72	60	714.25
5	66	670.52
4	16	208.7
65	8	750.89
18	75	86.82
72	7	42.46
61	22	747.47
40	8	733.36
66	63	156.62
89	44	129.75
28	36	740.19
57	9	55.66
34	79	83.8
39	99	19.01
34	86	388.23
67	56	517.14
17	65	824.82
90	20	724.58
31	83	148.79
8	32	429.35
40	81	144.34
33	37	925.26
31	74	314.47
93	3	415.74
29	89	189.98
90	26	692.91
82	82	777.33
74	22	1000
32	7	493.42
76	78	203.2
72	97	894.55
99	22	928.1
97	73	765.84
79	1	496.24
26	59	395.27
35	2	783.12
50	34	179.14
57	57	563.16
93	51	250.73
37	80	622.79
98	16	759.53
55	81	827.76
26	3	310.89
71	96	617.98
99	14	848.64
22	16	573.26
12	6	923.05
13	1	686.11
18	33	914.04
49	27	448.07
51	70	673.21
78	45	72.68
24	50	875.43
52	34	818.09
53	54	584
95	6	898.61
9	62	314.1
75	23	858.28
60	18	51.28
29	74	229.95
33	11	457.01
54	60	238.16
61	98	428.12
28	32	719.86
10	48	772.35
1	77	230.1
87	80	719.6
47	68	807.92
24	32	775.34
58	31	994.69
82	50	43.25
76	55	601
13	29	12.6
65	9	695.71
76	74	371
96	89	80.94
59	95	120.88
96	1	57.72
49	98	951.75
68	95	635
34	33	771.47
99	68	767.66
16	38	86.49
14	60	330.24
36	96	532.86
62	33	321.28
70	23	415.2
48	59	663.81
73	57	667.87
78	91	400.57
14	92	980.27
84	94	739.58
93	15	797.16
35	65	779.53
71	62	80.39
3	77	128.42
66	11	653.25
1	17	338.4
16	77	665.89
36	79	85.2
71	54	668.51
35	84	974.36
61	55	291.54
83	17	329.98
66	79	914.61
64	36	927.51
28	86	982.43
3	12	210.15
27	11	845.44
64	30	904.32
6	8	710.49
4	25	509.09
52	3	765.69
73	20	242.85
18	5	527.98
60	75	983.94
6	33	110.89
69	38	985.35
46	93	633.26
80	2	145.04
33	84	877.41
74	49	620.21
52	51	247.78
68	82	125.28
35	52	524.41
49	89	613.17
79	88	562.52
97	84	567.16
29	37	49.46
41	94	6.98
41	91	981.71
82	83	579.15
76	87	525.37
62	94	493.45
89	81	468.58
35	29	789.1
51	99	193.05
31	84	263.27
67	84	189.21
46	49	779.73
89	71	263.65
0	89	247.3
48	88	793.6
71	64	46.53
58	88	630.78
86	61	147.27
63	70	68.55
42	26	93.87
90	43	987.72
75	51	577.98
31	53	115.37
58	34	562.91
39	76	360.11
3	66	957.29
19	49	902.42
93	84	274.43
3	15	465.14
10	31	134.55
7	98	407.37
27	74	125.7
20	4	720.66
87	73	50.47
3	55	537.59
61	36	774.27
48	91	494.54
29	10	311.63
